Reference, Quantity, Value, Footprint, Datasheet
C1 C4 ,2,"100nF","Capacitor_SMD:C_0805_2012Metric","~"
C2 C5 ,2,"10uF","Capacitor_SMD:CP_Elec_4x5.3","~"
C3 ,1,"C","Capacitor_SMD:C_0805_2012Metric","~"
D1 ,1,"D","Diode_SMD:D_SOD-123","~"
D2 ,1,"WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
J1 J2 ,2,"Screw_Terminal_01x18","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","~"
J3 J4 ,2,"8P8C","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~"
JP1 JP2 ,2,"Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
R1 R2 ,2,"120Ohm","Resistor_SMD:R_0805_2012Metric","~"
TP1 ,1,"TestPoint","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~"
U1 ,1,"weact-black-pill-nodebug","stargazer-motherboard:weact-blackpill-nodebug",""
U2 ,1,"MAX3490E","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm",""